Well ID,Date,Benzene,Toluene,Ethyl-Benzene,Xylenes,TVPH,Water Table Elevation
MW-34,2/27/2018,0.0052,0.0076,0.005,0.31,2.5,5571.07
MW-34,5/30/2018,0.0025,0.005,0.005,0.015,2.5,5569.42
MW-34,8/22/2018,0.093,0.018,0.58,2,9.9,5571.22
MW-34,11/20/2018,0.29,2.5,0.79,5.7,35.8,5570.68
MW-34,9/4/2019,0.14,0.37,1.2,5.4,34.3,5568.29
MW-34,11/19/2019,0.12,0.63,0.97,4,41.4,5569.23
MW-34,2/20/2020,0.058,0.025,0.52,1.2,12.5,5567.59
MW-34,5/8/2020,0.2,2.8,1.4,4.2,30.4,5566.7
MW-34,8/4/2020,0.064,0.17,0.54,0.94,10,5569.45
MW-34,11/4/2020,0.1,0.18,1.7,2.5,15,5570.74
MW-34,2/9/2021,0.054,0.042,1,1.9,13.5,5567.99
MW-34,5/24/2021,0.061,0.095,0.8,1.2,10,5567.26
MW-34,8/31/2021,0.047,0.02,0.92,0.76,7.2,5569.86
MW-34,11/10/2021,0.1,0.26,1.6,4.3,22.5,5572.3
MW-34,3/1/2022,0.039,0.11,1,2.3,8.2,5569.1
MW-34,5/18/2022,0.02,0.014,0.65,1.9,9.7,5567.03
MW-34,8/26/2022,0.0081,0.001,0.12,0.15,1.2,5571.57
MW-34,11/28/2022,0.028,0.023,0.29,0.46,5.1,5574.75
MW-34,3/8/2023,0.053,0.073,1.2,1.3,13.6,5569.76
MW-34,5/25/2023,0.0005,0.001,0.0013,0.003,0.5,5567.63
MW-34,8/31/2023,0.0005,0.001,0.0017,0.003,0.5,5571.59
MW-34,11/20/2023,0.11,0.11,1.9,2.1,15.1,5574.01
MW-34,2/29/2024,0.06,0.068,1.3,1.8,14,5570.37
MW-34,5/22/2024,0.019,0.025,0.68,0.28,12.5,5569.87
MW-34,8/26/2024,0.0746,0.0623,1.28,2.51,9.17,5571.3
MW-34,11/12/2024,0.13,0.16,2.6,7.9,31.2,5572.89
